segment_0|i always enjoy showing up to the office party events.
segment_1|that sounds like a pretty good idea, huh?
segment_2|oh come on, you're loving this, just admit it.
segment_3|having my boobs pressed up against you like this.
segment_4|and i'm not bad at dirty talking,
segment_5|come on. better than anything you've had before.
segment_6|before.
segment_7|really? you're still not convinced?
segment_8|i
segment_9|fine, then. you won't mind if i climb up on top of you and...
segment_10|oh, yeah.
segment_11|it's always tight at the start, but i'm fine.
segment_12|i promise i can take it.
segment_13|this is much better than getting to work, right?
segment_14|come on, you have to... mel!
segment_15|oh.
segment_16|having my hips slam down on you.
segment_17|like, this is sarcasm, is it not?
segment_18|of course i'm trying to impress you.
segment_19|i want to know...
segment_20|if i can have a dick appointment with you at any time.
segment_21|ah, ah, ah.
segment_22|huh, huh.
segment_23|you've never had a girl go crazy for you before?
segment_24|honestly, i'm about to go yandari on your ass at this rate
segment_25|oh, i just...
segment_26|i just want to be spread by you and filled.
segment_27|god damn, do you know how to treat a lady after care as well.
segment_28|so nice and good
segment_29|i literally have your cum in me from last night.
segment_30|we can be dirty, kinky fox.
segment_31|doesn't bother me.
segment_32|aren't they so soft at the time?
segment_33|completely covering your dick, huh?
segment_34|going up and down
segment_35|aw, you struggling?
segment_36|how does it feel knowing you're going to have it?
segment_37|empty that ball sack of yours for me over again
segment_38|i could let you make a complete mess all over me.
segment_39|mark me like i'm territory that you can own.
segment_40|or just easy, relentlessly.
segment_41|hopefully...
segment_42|squeezing my tits together and moving up and down.
segment_43|it's off.
segment_44|vigorously.
segment_45|you want to get milked by me again.
segment_46|can't hold back, you're such a horny boy, aren't you?
segment_47|i mean, not to broach the subject at a very...
segment_48|what's the word?
segment_49|you could get all that pent up frustration of yours out.
segment_50|and i could drop by whenever i feel like it.
segment_51|throat. go on.
segment_52|give me that cock and put it right in between my plump.
segment_53|bye.
segment_54|perky tits. you definitely have a thing for spit.
segment_55|bye.
segment_56|you're getting flustered by having me drool on you.
segment_57|you can be honest with me.
segment_58|even though i'm just contracted.
segment_59|it's a blast.
segment_60|this time it was a blast because of you and that dick.
segment_61|normally, it's office drama that
segment_62|or
segment_63|something along those lines.
segment_64|but gossip is kind of in my nature.
segment_65|you want a review of your performance
segment_66|bye.
segment_67|oh, like that.
segment_68|i did notice something quite rare that you did.
segment_69|you moaned.
segment_70|the no moaning thing.
segment_71|is pretty weird during sex.
segment_72|and it's hard to get back into doing it if you were
segment_73|silent because of household reasons,
segment_74|but...
segment_75|if my pussy makes you feel good, then i'd like to know.
segment_76|makes me feel sexy as fuck and...
segment_77|gets me way deeper into the mood.
segment_78|yes, i slept pretty good.
segment_79|i'll take that as you certainly had a good night too.
segment_80|hey, wait, slow down.
segment_81|oh, come on.
segment_82|you're really gonna go into work?
segment_83|after that...
segment_84|do you know how many people will be calling in sick
segment_85|with massive hangovers?
segment_86|fine, i'll let you go on one condition, master.
segment_87|you let me cook you breakfast.
segment_88|it's the least i can do for you after
segment_89|showing me such a good night.
segment_90|that and also putting my number in your phone.
segment_91|can i just put your shirt on real quick?
segment_92|what do you have for me to make you?
segment_93|look hot in your shirt.
segment_94|wait, is this a guy thing?
segment_95|or is it because you know i'm naked underneath?
segment_96|hey there, mysteries.
segment_97|you're supposed to stay in bed while i get you some?
segment_98|you need to settle down.
segment_99|are you trying to get me excited all over? okay.
segment_100|i guess i missed your raging heart direction.
segment_101|is that morning wood?
segment_102|or are you really into chicks wearing your clothes?
segment_103|thanks.
segment_104|fine.
segment_105|knocking me up twice
segment_106|i was getting plan b when i went to the store anyway.
segment_107|really on my knees.
segment_108|fine, offer me your cock then.
segment_109|you are adorable when you smile.
segment_110|really?
segment_111|i'm adorable with my tongue wrapped around your cock.
segment_112|very funny, mister
segment_113|you can't say you're not enjoying it, though.
segment_114|would you call me a throat goat?
segment_115|is that a challenge? at a time like this?
segment_116|i'll show you what i can really
segment_117|i do.
segment_118|now tell me you weren't holding back from feeling like
segment_119|sweetheart
segment_120|hi! are you here to see me?
segment_121|i'm just kidding.
segment_122|yes, they're not here right now.
segment_123|oh, don't worry.
segment_124|you're always welcome here, sweetheart
segment_125|no, they're not here.
segment_126|didn't they tell you?
segment_127|or
segment_128|they have a meeting with their organization today or
segment_129|i think the club
segment_130|i don't remember exactly, but...
segment_131|i know that they went there for that.
segment_132|i like your vibe. i like the way
segment_133|you talk, i like your voice
segment_134|i think you're really cute.
segment_135|and you know, there's nothing wrong with two adults,
segment_136|having a conversation, getting to know each other,
segment_137|don't you think so?
segment_138|hmm.
segment_139|i guess i'm a little speechless.
segment_140|am i making you uncomfortable?
segment_141|you can always push me away.
segment_142|tell me to stop if you don't like it.
segment_143|you don't want me to come closer, do you?
segment_144|just tell me to stop
segment_145|and i'll stop.
segment_146|all i can say is that i'm so, so lucky.
segment_147|well, good morning sleepyhead.
segment_148|welcome back to the world of the living.
segment_149|did you enjoy last night?
segment_150|you fell asleep pretty quickly after the finale.
segment_151|shall we say it?
segment_152|pussy so good you can call it nyquil, huh?
segment_153|i'm just teasing you.
segment_154|you really surprised me last night.
segment_155|i didn't know you had it in you, but...
segment_156|you're like a damn jackhammer.
segment_157|you did make me feel great though.
segment_158|i'm serious.
segment_159|thank you for...
segment_160|actually taking care of me and checking in on me.
segment_161|during as well.
segment_162|you'd be surprised how many guys think just violently
segment_163|thrusting in and out is going to miraculously make me
segment_164|come out of nowhere.
segment_165|you just do that in general.
segment_166|well, it is a good thing too.
segment_167|it was a great night overall.
